File,Summary,Description - Test Setup,Description - Configuration,Description - Verification,Expected Result
$SDK/src/examples/xgs/TD3/mpls/lsr_swap_frr.c," This Cint example to show configuration of the L3 MPLS LSR swap with
 failover scenario using BCM APIs.
 "," a) Selects three ports and configure them in Loopback mode. Out of these
 three ports, one port is used as ingress_port and the other as
 egress_ports (primary & backup).
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel swap functional scenario with
 failover and does the necessary configurations of vlan, interface,
 next hop and swap labels.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the MPLS Label packet. The contents of the packet
 are printed on screen.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port and also MPLS Labels are swapped
 as part of tunnel switching on egress port. Also run the 'show c'
 to check the Tx/Rx packet stats/counters.
 _failover_set or
 _failover_egress_status_set and observe that packet is switched/routed
 to backup path/tunnel.
"
$SDK/src/examples/xgs/TD3/mpls/vpls_hierarchy_qiq.c," This Cint example to show configuration of H-VPLS tunnel initiation
 and termination flows/spoke & hub model with double tagged scenario
 using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic H-VPLS Tunnel initiation/termination scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet with Double Tagged on access_port/spoke and
 Transmit the provider/tunneled packet with Double tagged inner payload
 on network_port. The contents of the packet are printed on screen.
 "," We can see that VPLS tunnel initiation flows out of network_port and also
 VPLS tunnel terminates, and customer packet flows out of access_port.
 The contents of the packet are printed on screen. Also run the 'show c'
 to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/lsr_push.c," This Cint example to show configuration of L3 MPLS tunnel LSR label Swap &
 Push label using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel LSR with push+swap functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the MPLS packet. The contents of the packet are printed on
 screen. The packet used matches the route configured through script.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port and observe that one Label is pushed and other
 label is swapped.
"
$SDK/src/examples/xgs/TD3/mpls/vpws.c," This Cint example to show configuration of (L2 MPLS) VPWS tunnel initiation
 and termination flows using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS Tunnel initiation/termination scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet on access_port and Transmit the provider
 /tunneled packet on network_port. The contents of the packet are
 printed on screen.
 "," We can see that VPWS tunnel initiation flows out of network_port and also
 VPWS tunnel terminates, and customer packet flows out of access_port.
 The contents of the packet are printed on screen. Also run the 'show c'
 to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpls_flex_counter.c," This Cint example to show configuration of (L2 MPLS) VPLS tunnel initiation
 and termination flows with flex counters using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPLS Tunnel initiation/termination scenario and
 attach the flex counters for ingress, egress and label objects for VPLS
 setup and does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet on access_port and Transmit the provider
 /tunneled packet on network_port. The contents of the packet are
 printed on screen.
 "," We can see that VPLS tunnel initiation flows out of network_port and also
 VPLS tunnel terminates, and customer packet flows out of access_port.
 Also, we can see the flex counters for ingress, egress and label objects
 for tranmitted packets per direction.
 The contents of the packet are printed on screen. Also run the 'show c'
 to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpws_sdtag.c," This Cint example to show configuration of VPWS with SD-TAG functional
 scenario using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS with SD-TAG functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet with single TAG (0x8100600B) on access port.
 Also send a MPLS Tunnel packet with inner payload's TAG as 0x91006001)
 on network port. The contents of the packet are printed on screen.
 "," We can see that VPWS tunnel initiation with inner payload's TAG as
 0x91006001 (Translated/Replaced) flows out of network_port for
 incoming TAG 0x8100600B packet on access port and we are sending MPLS
 Tunnel packet with inner payload's TAG as 0x91006001 on network port
 and we can see that VPWS tunnel terminates on network/provider port
 and inner payload's TAG is translted back to 0x8100600B & goes out
 of access port. Also run the 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/l3_mpls_term.c," This Cint example to show configuration of L3 MPLS tunnel termination using
 BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel termination functional scenario and
 does the necessary configurations of vlan, interface, next hop and
 Tunnel + VC labels with POP action.
 "," a) Check the configurations by 'vlan show', 'l3 intf show',
 'l3 egress show' and 'l3 defip show'
  b) Transmit the MPLS packet with IP unicast payload. The contents of the packet
 are printed on screen. The packet used matches the route configured
 through script.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port after Tunnel + VC labels are POPed
 as part of tunnel termination on ingress port. Also run the
 'l3 defip show' to check the HIT bit status (y i.e Yes) and 'show c'
 to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpws_qos_2.c," This Cint example to show configuration of VPWS QoS mapping to access-side
 from network-side using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS from network-side, EXP is mapped to
 internal priority. On egress to access port, internal priority is
 remarked to .1Q PRI field functional scenario and does the necessary
 configurations of vlan, interface and next hop.
 b) Customer port -----  XGS ----- Provider port
 .1Q priority <--- Internal priority <--- Remark EXP field
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet with single VLAN on access port and
 also send tunneled packet with EXP as 3 on network port.
 The contents of the packet are printed on screen.
 "," We can see that VPWS tunnel initiation flows out of network_port for
 incoming VLAN packet on access port and we are sending MPLS Tunnel
 with EXP as 3 on network port and we can see that VPWS
 tunnel terminates on network/provider port and remarked .1Q PRI as 3
 goes out of access port. Also run the 'show c' to check the
 Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/lsr_qos.c," This Cint example to show configuration of L3 MPLS tunnel LSR label Swap with QoS
 using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS LSR with QoS functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'
  b) Transmit the MPLS packet. The contents of the packet are printed
 on screen. The packet used matches the route configured through script.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port and observe that EXP is marked for
 MPLS Label. Also run the 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpws_fp.c," This Cint Example shows how to use VFP to assign VPWS virtual port and
 and use EFP to change packet priority using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS with VFP & EFP functional scenario and
 use VFP to assign VPWS virtual port and use EFP to change packet
 priority and does the necessary configurations of vlan, interface
 and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show',
 'l3 egress show' and 'fp show'.
  b) Transmit a customer packet with .1p priority 5 to access_port and
 Sending a MPLS packet with TWO Labels to network_port.
 The contents of the packet are printed on screen.
 "," We can see that VPWS tunnel initiation flows out of network_port and
 Outer header's VLAN priority should be changed to 3 for incoming
 customer packet with VLAN's priority 5. Also VPWS terminates on network
 port for MPLS Tunnel packet. Also run the 'show c' to check the
 Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpls.c," This Cint example to show configuration of (L2 MPLS) VPLS tunnel initiation
 and termination flows using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPLS Tunnel initiation/termination scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet on access_port and Transmit the provider
 /tunneled packet on network_port. The contents of the packet are
 printed on screen.
 "," We can see that VPLS tunnel initiation flows out of network_port and also
 VPLS tunnel terminates, and customer packet flows out of access_port.
 The contents of the packet are printed on screen. Also run the 'show c'
 to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/vpls_trunk.c," This Cint example to show configuration of VPLS with Trunk, the customer
 port is a trunk, the trunk port slection is done via RTAG7 configuration
 using BCM APIs.
 "," a) Selects four ports and configure them in Loopback mode. Out of these
 four ports, three ports are used as access_ports and the other port as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPLS with Trunk functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show',
 'l3 egress show' and 'trunk show'.
  b) Transmit the customer packet on one of the trunk member port/access_port
 and also send different customer payload by changing VID and SA Mac of
 MPLS Tunnel packet on network_port. The contents of the packet are
 printed on screen.
 "," We can see that the customer port is a trunk, the trunk port slection
 is done via RTAG7 configuration. By changing the VID and SA MAC of
 inner payload makes to select the different access_port/member_port
 of trunk group. Example, tested with different customer packets by
 changing said fields and it chooses the different member ports.
 Also run the 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/lsr_multi_segment.c," This Cint example to show configuration of L3 MPLS tunnel switching for
 MS-PW scenario using BCM APIs.
 A multi-segment pseudowire (MS-PW) is a set of two or more PW segments that
 function as a single PW, as shown in the figure below. It is also known as
 switched PW. MS-PWs span multiple cores or autonomous systems of the same or
 different carrier networks.
  Segmenting the pseudowires is also referred to as pseudowire switching.
 The following occurs in a pseudowire-switching at S-PE:
  - The service receives vc-encapsulated traffic from one pseudowire segment.
 - The service performs a de-encapsulation, followed by another vc-encapsulation.
 - The service sends the traffic out over another pseudowire segment.
  In this scenario, the vc-label has been swapped, and traffic is switched from
 one pseudowire segment to another.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel switching/swapping functional
 scenario and does the necessary configurations of vlan, interface,
 next hop and Tunnel + VC labels.
 "," a) Check the configurations by 'vlan show', 'l3 intf show',and
 'l3 egress show'
  b) Transmit the MPLS packet with TWO labes. The contents of the packet
 are printed on screen.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the L3 egress object/port and also the vc-label has
 been swapped, and traffic is switched from one pseudowire segment to
 another.
"
$SDK/src/examples/xgs/TD3/mpls/lsr_php.c," This Cint example to show configuration of L3 MPLS tunnel LSR with PHP
 using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS LSR with PHP functional scenario and
 does the necessary configurations of vlan, interface, next hop and
 Tunnel Label with PHP action.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the MPLS packet. The contents of the packet are printed
 on screen. The packet used matches the route configured through script.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port after Tunnel label POPed(PHP)
 as part of tunnel termination on ingress port and observe that
 no change in Bos(VC) label if TWO label packet is ingressed.
"
$SDK/src/examples/xgs/TD3/mpls/vpws_double_tag.c," This Cint example to show configuration of (L2 MPLS) VPWS tunnel initiation
 and termination flows with double tagged using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as access_port and the other as
 network_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic VPWS Tunnel initiation/termination with double
 tagged scenario and does the necessary configurations of vlan,
 interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the customer packet with Double Tag on access_port and
 Transmit the provider/tunneled packet with Double tagged inner payload
 on network_port. The contents of the packet are printed on screen.
 "," We can see that VPWS tunnel initiation flows out of network_port and also
 VPWS tunnel terminates, and customer packet with double tagged flows
 out of access_port. The contents of the packet are printed on screen.
 Also run the 'show c' to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/lsr_swap_1.c," This Cint example to show configuration of L3 MPLS tunnel LSR label Swap
 using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel swap/switching functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the MPLS with One / Two Label with different TTL packet.
 The contents of the packet are printed on screen.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port and observe that MPLS Label is swapped
 for different trails and covered with TTL checks as well. Also run the 'show c'
 to check the Tx/Rx packet stats/counters.
"
$SDK/src/examples/xgs/TD3/mpls/lsr_swap.c," This Cint example to show configuration of L3 MPLS tunnel LSR label Swap
 using BCM APIs.
 "," a) Selects two ports and configure them in Loopback mode. Out of these
 two ports, one port is used as ingress_port and the other as
 egress_port.
  b) Install an IFP rule to copy incoming packets to CPU and start
 packet watcher.
  Note: IFP rule is meant for a testing purpose only (Internal) and it is
 nothing to do with an actual functional test.
 "," a) Configure a basic L3 MPLS Tunnel swap/switching functional scenario and
 does the necessary configurations of vlan, interface and next hop.
 "," a) Check the configurations by 'vlan show', 'l3 intf show' and
 'l3 egress show'.
  b) Transmit the MPLS with One / Two Label with different TTL packet.
 The contents of the packet are printed on screen.
 "," We can see that dmac, smac and vlan are all changed as the packet is
 routed through the egress port and observe that MPLS Label is swapped
 for different trails and covered with TTL checks as well. Also run the 'show c'
 to check the Tx/Rx packet stats/counters.
"
